  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0018                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6316   0.00000  -0.00173   0.0121   0.0000   0.0000
  -4.000  -0.5055   0.00000  -0.00172   0.0097   0.0000   0.0000
  -3.000  -0.3793   0.00000  -0.00171   0.0073   0.0000   0.0000
  -2.000  -0.2529   0.00000  -0.00171   0.0048   0.0000   0.0000
  -1.000  -0.1264   0.00000  -0.00171   0.0024   0.0000   0.0000
   0.000   0.0001   0.00000  -0.00171  -0.0000   0.0000   0.0000
   1.000   0.1265   0.00000  -0.00171  -0.0024   0.0000   0.0000
   2.000   0.2530   0.00000  -0.00171  -0.0049   0.0000   0.0000
   3.000   0.3794   0.00000  -0.00171  -0.0073   0.0000   0.0000
   4.000   0.5056   0.00000  -0.00172  -0.0097   0.0000   0.0000
   5.000   0.6317   0.00000  -0.00173  -0.0121   0.0000   0.0000
   6.000   0.7577   0.00000  -0.00174  -0.0145   0.0000   0.0000
   7.000   0.8833   0.00000  -0.00175  -0.0169   0.0000   0.0000
   8.000   1.0088   0.00000  -0.00176  -0.0192   0.0000   0.0000
   9.000   1.1339   0.00000  -0.00177  -0.0216   0.0000   0.0000
  10.000   1.2586   0.00000  -0.00179  -0.0239   0.0000   0.0000
  11.000   1.3830   0.00000  -0.00180  -0.0261   0.0000   0.0000
  12.000   1.5070   0.00000  -0.00182  -0.0284   0.0000   0.0000
